t,y,vy,Ec,Ek,Ep
55.00,22.91,79.63,783446.95,729136.22,54310.73
55.50,61.30,73.80,783446.93,626349.57,157097.36
56.00,96.57,67.17,783446.91,518912.25,264534.66
56.50,128.35,59.82,783446.89,411478.56,371968.33
57.00,156.28,51.81,783446.87,308702.61,474744.26
57.50,180.07,43.24,783446.86,215036.74,568410.12
58.00,199.45,34.20,783446.84,134538.64,648908.20
58.50,214.21,24.79,783446.82,70695.56,712751.26
59.00,224.20,15.11,783446.80,26273.23,757173.57
59.50,229.30,5.27,783446.78,3196.07,780250.72
60.00,229.46,-4.63,783446.76,2463.79,780982.97
